iso,name
UM,"যুক্তরাষ্ট্রের ক্ষুদ্র ও পার্শ্ববর্তী দ্বীপপুঞ্জ"
RU,রাশিয়া
RE,রিইউনিয়ন
RO,রুমানিয়া
RW,রুয়ান্ডা
LR,লাইবেরিয়া
LA,লাওস
LU,লাক্সেমবার্গ
LV,লাত্ভিয়া
LI,লিচেনস্টেইন
LT,লিত্ভা
LY,লিবিয়া
LB,লেবানন
LS,লেসোথো
LK,শ্রীলঙ্কা
SK,শ্লোভাকিয়া
AE,"সংযুক্ত আরব আমিরাত"
SB,"সলোমন দ্বীপপুঞ্জ"
CY,সাইপ্রাস
SA,"সাউদি আরব"
ST,"সাওটোমা ও প্রিন্সিপি"
SM,"সান মারিনো"
WS,সামোয়া
RS,সারবিয়া
CS,"সারবিয়ান এবং মন্টেনিগ্রো"
SG,সিঙ্গাপুর
SL,সিয়েরালিওন
SY,সিরিয়া
SC,সিসিলি
CH,সুইজর্লণ্ড
SE,সুইডেন
SD,সুদান
SR,সুরিনাম
SN,সেনেগাল
KN,"সেন্ট কিটস ও নেভিস"
PM,"সেন্ট পিয়ের ও মিকুয়েলন"
BL,"সেন্ট বারথেলিমি"
VC,"সেন্ট ভিনসেন্ট ও দ্যা গ্রেনাডিনস"
MF,"সেন্ট মার্টিন"
LC,"সেন্ট লুসিয়া"
SH,"সেন্ট হেলেনা"
SO,সোমালি
SZ,সোয়াজিল্যান্ড
ES,স্পেন
SJ,"স্বালবার্ড ও জান মেয়েন"
SI,স্লোভানিয়া
HK,"হংকং এসএআর চীনা"
HN,হণ্ডুরাস
NL,হলণ্ড
HT,হাইতি
HU,হাঙ্গেরি
HM,"হার্ড দ্বীপ এবং ম্যাকডোনাল্ড দ্বীপপুঞ্জ"
