iso,name
ER,ⵉⵔⵉⵜⵉⵔⵢⴰ
IE,ⵉⵔⵍⴰⵏⴷⴰ
IS,ⵉⵙⵍⴰⵏⴷ
IL,ⵉⵙⵔⴰⵢⵉⵍ
EE,ⵉⵙⵜⵓⵏⵢⴰ
ET,ⵉⵜⵢⵓⴱⵢⴰ
IT,ⵉⵟⴰⵍⵢⴰ
US,"ⵉⵡⵓⵏⴰⴽ ⵎⵓⵏⵏⵉⵏ ⵏ ⵎⵉⵔⵉⴽⴰⵏ"
JM,ⵊⴰⵎⴰⵢⴽⴰ
GE,ⵊⵓⵔⵊⵢⴰ
LV,ⵍⴰⵜⴼⵢⴰ
LA,ⵍⴰⵡⵙ
KW,ⵍⴽⵡⵉⵜ
IN,ⵍⵀⵉⵏⴷ
IQ,ⵍⵄⵉⵔⴰⵇ
LR,ⵍⵉⴱⵉⵔⵢⴰ
LY,ⵍⵉⴱⵢⴰ
LI,ⵍⵉⴽⵉⵏⵛⵜⴰⵢⵏ
AE,ⵍⵉⵎⴰⵔⴰⵜ
LS,ⵍⵉⵚⵓⵟⵓ
LT,ⵍⵉⵜⵡⴰⵏⵢⴰ
MA,ⵍⵎⵖⵔⵉⴱ
LB,ⵍⵓⴱⵏⴰⵏ
LU,ⵍⵓⴽⵙⴰⵏⴱⵓⵔⴳ
JO,ⵍⵓⵔⴷⵓⵏ
JP,ⵍⵢⴰⴱⴰⵏ
GR,ⵍⵢⵓⵏⴰⵏ
MG,ⵎⴰⴷⴰⵖⴰⵛⵇⴰⵔ
MW,ⵎⴰⵍⴰⵡⵉ
MV,ⵎⴰⵍⴷⵉⴼ
ML,ⵎⴰⵍⵉ
MY,ⵎⴰⵍⵉⵣⵢⴰ
MT,ⵎⴰⵍⵟⴰ
MQ,ⵎⴰⵔⵜⵉⵏⵉⴽ
MK,ⵎⴰⵙⵉⴷⵓⵏⵢⴰ
YT,ⵎⴰⵢⵓⵟ
FM,ⵎⵉⴽⵔⵓⵏⵉⵣⵢⴰ
MX,ⵎⵉⴽⵙⵉⴽ
EG,ⵎⵉⵚⵕ
MN,ⵎⵏⵖⵓⵍⵢⴰ
MD,ⵎⵓⵍⴷⵓⴼⵢⴰ
MC,ⵎⵓⵏⴰⴽⵓ
MS,ⵎⵓⵏⵙⵉⵔⴰⵜ
MU,ⵎⵓⵔⵉⵙ
MR,ⵎⵓⵕⵉⵟⴰⵏⵢⴰ
MZ,ⵎⵓⵣⵏⴱⵉⵇ
MM,ⵎⵢⴰⵏⵎⴰⵔ
NA,ⵏⴰⵎⵉⴱⵢⴰ
NR,ⵏⴰⵡⵔⵓ
NP,ⵏⵉⴱⴰⵍ
